title,tokens,ttr,sentences,syllables,nouns,adjectives,adverbs,fk,death,fatigue,depression,indifference,from,to,date,year
089,6488,0.476,14.579775280898877,1.280517879161529,0.4423551171393342,0.09417385943279902,0.04423551171393342,5.206223333656606,0.005548705302096177,0.0004623921085080148,0.0015413070283600493,0.00015413070283600493,'Vincent van Gogh','Theo van Gogh','26-8-1876',1876
090,5397,0.484,11.290794979079498,1.2614415415971836,0.4750787474522883,0.08801185843987401,0.0474337594960163,3.69842023268777,0.006114508060033352,0.0005558643690939411,0.0040763387066889015,0.0,'Vincent van Gogh','Theo van Gogh','2-9-1876',1876
091,532,0.5357142857142857,14.0,1.381578947368421,0.4868421052631579,0.07706766917293233,0.039473684210526314,6.172631578947371,0.0,0.0,0.0,0.0018796992481203006,'Vincent van Gogh','Theo van Gogh','16-9-1876',1876
092,4522,0.497,16.87313432835821,1.250110570544007,0.450906678460858,0.08624502432551968,0.04290137107474569,5.741827120478984,0.0033171163202122956,0.00022114108801415304,0.0033171163202122956,0.0,'Vincent van Gogh','Theo van Gogh','3-10-1876',1876
093,6079,0.59,19.2373417721519,1.274716236223063,0.448593518670834,0.09409442342490541,0.04030268136206613,6.954214878571388,0.005428524428359928,0.000987004441519987,0.0016450074025333114,0.0,'Vincent van Gogh','Theo van Gogh','7-10-1876',1876
094,6042,0.459,16.5989010989011,1.2610062893081762,0.4422376696458126,0.08854683879510096,0.04485269778219133,5.763445642407909,0.004137702747434625,0.00033101621979476995,0.0019860973187686196,0.00033101621979476995,'Vincent van Gogh','Anna van Gogh-Carbentus and Theo van Gogh','13-10-1876',1876
095,3204,0.478,14.052631578947368,1.2880774032459426,0.4597378277153558,0.09425717852684144,0.04463171036204744,5.089839674091596,0.005305867665418227,0.0,0.001560549313358302,0.0,'Vincent van Gogh','Theo van Gogh','23-10-1876',1876
096,9035,0.5,15.108695652173912,1.154731599335916,0.3291643608190371,0.07271721084670725,0.05987825124515772,3.928224176511634,0.004869950193691201,0.0008854454897620365,0.005201992252351965,0.0,'Vincent van Gogh','Theo van Gogh','3-11-1876',1876
097,1372,0.495,16.73170731707317,1.2769679300291545,0.45335276967930027,0.10787172011661808,0.05174927113702624,6.003587428002561,0.004373177842565598,0.0007288629737609329,0.002186588921282799,0.0,'Vincent van Gogh','Theo van Gogh','10-11-1876',1876
098,2445,0.441,17.218309859154928,1.3100204498977506,0.4638036809815951,0.09529652351738241,0.045807770961145196,6.58338215386388,0.004498977505112475,0.0,0.00040899795501022495,0.0,'Vincent van Gogh','Theodorus van Gogh and Anna van Gogh-Carbentus','17-11-1876',1876
099,3424,0.553,17.034825870646767,1.2114485981308412,0.4214369158878505,0.10192757009345794,0.04848130841121495,5.348675547496164,0.004672897196261682,0.0005841121495327102,0.004380841121495327,0.0002920560747663551,'Vincent van Gogh','Theo van Gogh','25-11-1876',1876
100,1837,0.47,19.33684210526316,1.2841589548176375,0.4316820903647251,0.07131192161132281,0.065323897659227,7.104444087900756,0.003810560696788242,0.0005443658138268917,0.0005443658138268917,0.0,'Vincent van Gogh','Theo van Gogh','31-12-1876',1876
101,2434,0.505,12.810526315789474,1.3311421528348397,0.5061626951520132,0.08709942481511915,0.036154478225143796,5.113582666609005,0.0024650780608052587,0.0,0.0004108463434675431,0.0004108463434675431,'Vincent van Gogh','Theo van Gogh','21-12-1877',1877
102,4521,0.469,14.08411214953271,1.2634372926343729,0.46472019464720193,0.09289980092899801,0.04445919044459191,4.811363791403359,0.0072992700729927005,0.0013271400132714001,0.0028754700287547,0.00044238000442380006,'Vincent van Gogh','Theo van Gogh','7-2-1877',1877
103,2840,0.525,14.05940594059406,1.2605633802816902,0.42464788732394365,0.0982394366197183,0.04683098591549296,4.767816204155629,0.006338028169014085,0.0017605633802816902,0.00528169014084507,0.0,'Vincent van Gogh','Theo van Gogh','26-2-1877',1877
104,9315,0.511,12.503355704697986,1.2462694578636608,0.4811594202898551,0.08287707997852925,0.036929683306494904,3.992288327623413,0.007085346215780998,0.00032206119162640903,0.0018250134192163178,0.00021470746108427267,'Vincent van Gogh','Theo van Gogh','28-2-1877',1877
105,831,0.47653429602888087,13.62295081967213,1.388688327316486,0.4332129963898917,0.06979542719614922,0.05896510228640193,6.109473082006669,0.0012033694344163659,0.0,0.0012033694344163659,0.0,'Vincent van Gogh','Theo van Gogh','6-3-1877',1877
106,1558,0.482,14.036036036036036,1.2554557124518613,0.41142490372272145,0.08536585365853659,0.05327342747111682,4.6984314609860185,0.007060333761232349,0.0,0.0006418485237483953,0.0,'Vincent van Gogh','Theo van Gogh','8-3-1877',1877
107,976,0.4600409836065574,18.41509433962264,1.2940573770491803,0.4149590163934426,0.09016393442622951,0.06659836065573771,6.8617638416331594,0.0,0.0,0.0,0.0,'Vincent van Gogh','Cornelis Marinus van Gogh','8-3-1877',1877
108,2055,0.488,11.353591160220995,1.2880778588807786,0.4768856447688564,0.1070559610705596,0.04282238442822384,4.0372192872793775,0.00535279805352798,0.0,0.0009732360097323601,0.0,'Vincent van Gogh','Theo van Gogh','16-3-1877',1877
109,2985,0.468,13.092105263157896,1.2710217755443887,0.4458961474036851,0.08442211055276382,0.048911222780569516,4.513978004055367,0.006700167504187605,0.0006700167504187605,0.0010050251256281408,0.00033500837520938025,'Vincent van Gogh','Theo van Gogh','23-3-1877',1877
110,2076,0.481,16.476190476190474,1.2596339113680155,0.4619460500963391,0.07996146435452794,0.04816955684007707,5.699394439856871,0.00674373795761079,0.0,0.0009633911368015414,0.0,'Vincent van Gogh','Theo van Gogh','8-4-1877',1877
111,1978,0.465,17.98181818181818,1.3124368048533872,0.41405460060667343,0.08291203235591507,0.04701718907987867,6.909663388179059,0.003538928210313448,0.0,0.0005055611729019212,0.0005055611729019212,'Vincent van Gogh','Theo van Gogh','15-4-1877',1877
112,2260,0.489,14.125,1.30929203539823,0.4690265486725664,0.07964601769911504,0.04424778761061947,5.368396017699116,0.0048672566371681415,0.0,0.0004424778761061947,0.0,'Vincent van Gogh','Theo van Gogh','22-4-1877',1877
113,2019,0.479,14.42142857142857,1.308568598315998,0.462109955423477,0.0861812778603269,0.04110946012877662,5.475466602985922,0.005448241703813769,0.0,0.0,0.0,'Vincent van Gogh','Theo van Gogh','30-4-1877',1877
